symbol,companyName,marketCap,volume,sector,industry,exchangeShortName,exchange
PANW,"Palo Alto Networks, Inc.",108958700000,1777617,Technology,Software - Infrastructure,NASDAQ,NASDAQ Global Select
MMC,"Marsh & McLennan Companies, Inc.",107762712200,1293291,Financial Services,Insurance - Brokers,NYSE,New York Stock Exchange
CB,Chubb Limited,104901798740,1277681,Financial Services,Insurance - Property & Casualty,NYSE,New York Stock Exchange
IBN,ICICI Bank Limited,102673915200,2320686,Financial Services,Banks - Regional,NYSE,New York Stock Exchange
DE,Deere & Company,100673988100,1004355,Industrials,Agricultural - Machinery,NYSE,New York Stock Exchange
UBS,UBS Group AG,100168825965,1146755,Financial Services,Banks - Diversified,NYSE,New York Stock Exchange
MDT,Medtronic plc,99952946500,5472843,Healthcare,Medical - Devices,NYSE,New York Stock Exchange
TD,The Toronto-Dominion Bank,99840275000,1482133,Financial Services,Banks - Diversified,NYSE,New York Stock Exchange
DELL,Dell Technologies Inc.,98985380681,7313473,Technology,Computer Hardware,NYSE,New York Stock Exchange
RY-PT,Royal Bank of Canada,98818866872,102,Financial Services,Banks - Diversified,NYSE,New York Stock Exchange
AMT,American Tower Corporation,98349604750,1890022,Real Estate,REIT - Specialty,NYSE,New York Stock Exchange
KKR,KKR & Co. Inc.,98270897480,2765042,Financial Services,Asset Management,NYSE,New York Stock Exchange
ADP,"Automatic Data Processing, Inc.",97419443820,1282086,Industrials,Staffing & Employment Services,NASDAQ,NASDAQ Global Select
BP,BP p.l.c.,96933459060,7866530,Energy,Oil & Gas Integrated,NYSE,New York Stock Exchange
PBR-A,Petróleo Brasileiro S.A. - Petrobras,95199871974,2209407,Energy,Oil & Gas Integrated,NYSE,New York Stock Exchange
CI,Cigna Corporation,95105134460,571777,Healthcare,Medical - Healthcare Plans,NYSE,New York Stock Exchange
PBR,Petróleo Brasileiro S.A. - Petrobras,95044485901,8088754,Energy,Oil & Gas Integrated,NYSE,New York Stock Exchange
ABNB,"Airbnb, Inc.",94532747203,2907579,Consumer Cyclical,Travel Services,NASDAQ,NASDAQ Global Select
SNPS,"Synopsys, Inc.",94082284800,503286,Technology,Software - Infrastructure,NASDAQ,NASDAQ Global Select
