TKR,NAME,CAP,PRC,TGT,UP%,#T,%B,#A,AM,A,EXR,B,52W,2H,PET,PEF,P/S,PEG,DV,SI,EG,PP,ROE,DE,FCF,ERN,SZ,BS,SIGNAL_TRACK,SIGNAL_HORIZON
9433.T,KDDI CORPORATI,11.0T,2982.50,2939.07,-1.5%,15.0,46%,15.0,0,A,-0.7%,-0.1,96,Y,16.2,1280.0,83.2,1.5,2.81%,--,--,23.59,14.6,93.8,13.9%,06/30,10k,S,--,30
4519.T,CHUGAI PHARMAC,10.7T,6514.00,9323.33,43.1%,15.0,66%,15.0,0,A,28.5%,0.5,61,N,22.9,27.6,0.9,1.7,2.02%,--,--,-0.75,23.5,--,3.1%,03/31,15k,H,value,90
6503.T,MITSUBISHI ELE,10.5T,5151.00,6828.57,32.6%,14.0,64%,14.0,-1,A,20.8%,0.8,77,N,27.6,31.2,1.1,3.0,1.18%,--,--,40.95,10.3,7.2,1.6%,06/30,13.5k,H,value,90
4063.T,SHIN-ETSU CHEM,10.4T,5729.00,7774.71,35.7%,17.0,82%,17.0,+1,A,29.3%,1.1,72,N,22.7,17.4,0.7,1.6,2.03%,--,--,32.2,11.2,5.5,2.3%,06/30,15k,B,value,90
7974.T,"NINTENDO CO., ",9.87T,8561.00,10486.80,22.5%,26.0,65%,26.0,0,A,14.6%,--,59,N,23.5,25.2,1.6,2.2,2.50%,--,--,-36.27,--,--,--,06/30,12.5k,H,value,90
6752.T,PANASONIC HOLD,9.83T,4212.00,4818.60,14.4%,15.0,80%,15.0,+2,A,11.5%,0.8,85,Y,51.9,24.9,0.8,--,1.30%,--,--,179.65,5.2,27.9,-1.5%,06/30,12k,B,momentum,30
5803.T,FUJIKURA LTD.,9.18T,5546.00,7243.33,30.6%,12.0,75%,12.0,0,A,23.0%,0.8,70,Y,58.3,18.3,0.7,3.1,0.75%,--,--,160.78,39.0,18.1,--,06/30,14k,H,value,90
4502.T,TAKEDA PHARMAC,9.05T,5670.00,6603.31,16.5%,16.0,68%,16.0,0,A,11.2%,0.1,94,Y,--,40.4,1.4,0.4,3.54%,--,1059.1,30.77,-2.3,73.2,6.0%,06/30,12k,H,value,90
8053.T,SUMITOMO CORPO,8.77T,1855.00,1972.05,6.3%,10.0,60%,10.0,-3,A,3.8%,0.6,95,Y,14.9,4.2,0.1,3.0,2.18%,--,--,76.99,13.6,102.0,4.3%,06/30,10.5k,H,value,90
8002.T,MARUBENI CORPO,8.35T,5137.00,5994.17,16.7%,12.0,41%,12.0,-2,A,6.8%,0.7,81,N,15.6,16.5,0.6,2.9,2.26%,--,--,50.14,14.2,57.6,0.9%,06/30,11k,S,--,30
7741.T,HOYA CORPORATI,7.85T,23470.00,30666.67,30.7%,16.0,87%,16.0,0,A,26.7%,--,77,N,31.5,34.4,1.1,2.5,1.26%,--,--,15.49,26.5,4.4,2.3%,06/30,14.5k,B,value,90
8725.T,MS&AD INSURANC,7.12T,4963.00,4968.18,0.1%,11.0,45%,11.0,0,A,0.0%,0.3,93,Y,9.4,12.1,0.7,2.5,2.76%,--,--,48.2,16.1,25.2,--,06/30,10k,S,--,30
8015.T,TOYOTA TSUSHO ,7.04T,7510.00,8378.75,11.6%,8,75%,8,-1,A,8.7%,0.9,96,Y,22.0,21.3,0.8,--,1.67%,--,--,93.55,16.1,93.2,0.6%,06/30,11.5k,H,value,90
5802.T,SUMITOMO ELECT,6.87T,2203.00,3579.09,62.5%,11.0,90%,11.0,+1,A,56.2%,0.9,59,N,18.6,10.0,0.4,4.4,1.88%,--,--,119.2,15.8,25.2,--,06/30,15k,H,value,90
6178.T,JAPAN POST HOL,6.65T,2431.50,2473.75,1.7%,8.0,62%,8.0,+1,A,1.1%,0.2,93,Y,18.8,19.5,1.2,--,2.45%,--,--,63.56,5.1,--,--,06/30,10k,H,value,90
6301.T,KOMATSU LTD.,6.62T,7453.00,6820.91,-8.5%,12,25%,12,0,A,-2.1%,1.0,95,Y,18.0,13.4,0.5,3.1,2.57%,--,--,47.36,11.6,46.7,-0.6%,12/31,10k,S,value,90
8750.T,DAIICHI LIFE G,6.53T,1813.00,1936.00,6.8%,11,45%,11,0,A,3.1%,0.3,93,Y,15.3,4.9,0.3,0.8,3.95%,--,--,50.96,13.6,30.1,--,06/30,10.5k,S,--,30
6702.T,FUJITSU LIMITE,6.52T,3768.00,4708.46,25.0%,13,76%,13,0,A,19.0%,0.7,81,Y,21.6,24.8,0.8,--,1.46%,--,--,6.3,16.2,6.5,4.4%,06/30,13k,B,momentum,30
8591.T,ORIX CORPORATI,6.32T,6076.00,6767.78,11.4%,9,44%,9,0,A,5.0%,0.7,91,Y,10.8,16.3,1.0,--,2.81%,--,68.7,62.72,14.0,130.3,--,06/30,11k,S,--,30
7267.T,HONDA MOTOR CO,6.29T,1615.50,1718.75,6.4%,16.0,37%,16.0,-2,A,2.4%,0.3,92,Y,--,7.1,0.3,--,4.35%,--,291.6,-0.16,-0.8,113.8,4.3%,06/30,10.5k,S,--,30
4578.T,OTSUKA HOLDING,6.17T,11735.00,14283.33,21.7%,12.0,83%,12.0,0,A,18.0%,-0.0,92,Y,15.2,22.6,0.8,--,1.69%,--,--,40.21,13.4,5.9,1.0%,03/31,13k,B,momentum,7
6723.T,RENESAS ELECTR,6.06T,3317.00,5065.39,52.7%,13.0,76%,13.0,+1,A,40.1%,1.3,63,Y,17.8,11.8,0.3,--,0.86%,--,--,96.23,14.0,40.6,-1.2%,03/31,15k,H,value,90
6146.T,DISCO CORPORAT,6.00T,55300.00,84130.00,52.1%,21.0,71%,21.0,+3,A,37.0%,1.0,60,N,44.4,40.6,1.2,1.7,1.02%,--,--,47.61,27.4,--,--,06/30,15k,H,value,90
6701.T,NEC CORPORATIO,6.00T,4523.00,6162.50,36.2%,12.0,91%,12.0,-1,A,33.0%,0.3,73,N,22.4,6.3,0.2,--,0.87%,--,--,3.55,14.2,25.5,4.6%,06/30,15k,B,value,90
4062.T,"IBIDEN CO.,LTD",5.98T,21275.00,24850.00,16.8%,17.0,88%,17.0,+2,A,14.8%,1.7,77,Y,99.3,68.9,2.1,--,0.10%,--,--,494.48,12.7,31.9,1.1%,06/30,12.5k,H,value,90
8630.T,SOMPO HOLDINGS,5.86T,6613.00,6929.00,4.8%,11.0,45%,11.0,0,A,2.2%,0.2,89,Y,26.4,24.2,1.5,2.8,3.01%,--,--,41.89,14.4,17.6,--,06/30,10.5k,S,--,30
6367.T,DAIKIN INDUSTR,5.75T,20650.00,24138.15,16.9%,14.0,35%,14.0,-3,A,5.9%,0.6,78,N,22.0,20.9,0.7,2.8,1.76%,--,--,13.5,9.6,39.5,--,06/30,11k,S,value,90
8308.T,RESONA HOLDING,5.55T,2484.00,2384.55,-4.0%,11,36%,11,+1,A,-1.4%,0.3,96,Y,22.3,28.2,1.7,1.4,1.49%,--,--,71.05,9.2,--,--,06/30,10k,S,--,30
6954.T,FANUC CORPORAT,5.45T,5865.00,7351.11,25.3%,19,42%,19,-1,A,10.6%,0.9,66,N,32.8,33.9,1.2,2.5,1.85%,--,--,43.92,10.0,--,--,06/30,12k,S,--,30
NVDA,NVIDIA CORPORA,5.45T,225.73,327.65,45.2%,60,100%,27,-1,E,45.2%,2.2,95,Y,28.6,14.5,0.4,0.6,0.43%,1.2%,87.1,32.37,117.2,17.0,0.8%,07/31,15k,B,value,90
6762.T,TDK CORPORATIO,5.37T,2826.50,4110.29,45.4%,17,82%,17,+1,A,37.2%,0.7,66,Y,27.5,26.4,0.8,1.0,1.44%,--,--,44.12,11.6,33.0,-0.6%,06/30,15k,B,value,90
4661.T,ORIENTAL LAND ,5.14T,3134.00,3272.08,4.4%,14.0,35%,14.0,-1,A,1.5%,0.3,84,Y,41.0,35.8,1.4,8.3,0.50%,--,--,-14.56,--,28.9,--,06/30,10.5k,S,value,90
4568.T,DAIICHI SANKYO,4.99T,2743.50,4096.25,49.3%,16,81%,16,-2,A,39.9%,--,66,N,19.6,19.1,0.6,1.8,3.64%,--,--,-23.58,14.8,29.4,-3.9%,06/30,15k,B,value,90
2802.T,"AJINOMOTO CO.,",4.90T,5138.00,6103.57,18.8%,14.0,78%,14.0,+1,A,14.7%,0.4,81,Y,37.1,22.1,0.9,2.9,0.99%,--,--,23.83,18.5,66.2,1.6%,06/30,12.5k,B,momentum,30
8309.T,SUMITOMO MITSU,4.85T,1762.50,1691.96,-4.0%,12.0,58%,12.0,0,A,-2.3%,0.3,97,Y,13.3,4.7,0.3,3.0,2.70%,--,76.7,72.96,10.8,--,--,06/30,10k,S,--,30
8604.T,NOMURA HOLDING,4.80T,1643.00,1642.86,-0.0%,7.0,57%,7.0,-1,A,-0.0%,0.6,98,Y,12.4,18.1,1.1,--,3.09%,--,58.1,59.44,11.2,945.6,--,06/30,10k,S,--,30
6902.T,DENSO CORPORAT,4.72T,1884.50,2124.44,12.7%,18.0,38%,18.0,0,A,4.8%,0.6,79,N,11.6,9.8,0.4,2.5,3.94%,--,--,-12.01,9.2,25.5,2.7%,06/30,11k,S,--,30
5108.T,BRIDGESTONE CO,4.70T,3796.00,3845.00,1.3%,13.0,23%,13.0,-1,A,0.3%,0.5,86,Y,19.2,6.8,0.3,--,3.42%,--,--,12.0,11.3,23.4,7.3%,03/31,10k,S,value,90
3382.T,SEVEN & I HOLD,4.63T,2041.00,2276.88,11.6%,16.0,25%,16.0,-2,A,2.9%,0.1,84,N,17.2,17.7,0.7,16.7,2.91%,--,--,7.82,8.0,104.4,-8.7%,05/31,10.5k,S,value,90
AAPL,APPLE INC.,4.61T,316.22,323.86,2.4%,43,58%,24,-4,E,1.4%,1.1,92,Y,36.2,33.0,1.0,2.5,0.34%,0.8%,8.5,35.43,148.8,78.4,2.3%,06/30,10k,H,value,90
1605.T,INPEX CORPORAT,4.55T,3919.00,4148.18,5.8%,10.0,40%,10.0,-1,A,2.3%,-0.1,79,Y,10.6,14.6,0.8,--,2.92%,--,--,57.28,9.3,24.6,4.0%,03/31,10.5k,S,--,30
8802.T,MITSUBISHI EST,4.40T,3667.00,5007.50,36.6%,12.0,83%,12.0,-1,A,30.3%,0.4,68,N,20.2,24.3,0.8,2.1,1.37%,--,--,10.71,10.7,129.8,--,06/30,15k,B,value,90
6971.T,KYOCERA CORPOR,4.36T,3410.00,3485.33,2.2%,15.0,33%,15.0,+1,A,0.7%,0.4,85,Y,33.2,38.1,1.4,1.4,1.65%,--,--,72.78,5.1,10.2,2.8%,06/30,10k,S,value,90
6273.T,SMC CORPORATIO,4.24T,67910.00,86853.84,27.9%,13.0,61%,13.0,0,A,17.0%,0.8,78,Y,26.9,20.7,0.7,--,1.52%,--,--,56.9,9.8,0.2,--,06/30,13k,H,value,90
GOOG,ALPHABET INC.,4.10T,335.38,422.34,25.9%,62.0,100%,3.0,-1,E,25.9%,1.2,83,Y,16.8,22.6,1.5,1.2,0.26%,--,220.7,--,48.7,18.9,0.6%,06/30,14.5k,I,--,30
GOOGL,ALPHABET INC.,4.10T,335.38,422.34,25.9%,62,100%,3,-1,E,25.9%,1.2,83,Y,16.8,22.6,1.5,1.2,0.26%,--,220.7,--,48.7,18.9,0.6%,06/30,14.5k,I,--,30
4503.T,ASTELLAS PHARM,4.04T,2254.00,2512.14,11.5%,14,35%,14,+1,A,4.0%,0.1,83,N,13.9,29.7,1.0,--,3.51%,--,--,38.28,21.3,30.3,9.5%,06/30,10.5k,S,value,90
8801.T,MITSUI FUDOSAN,4.03T,1496.00,2061.67,37.8%,12.0,100%,12.0,+1,A,37.8%,0.4,69,N,14.8,15.7,0.5,2.6,2.46%,--,--,-6.5,6.7,152.1,--,06/30,15k,H,value,90
MOL.BD,MOL MAGYAR OLA,4.00T,5065.00,4589.20,-9.4%,10,60%,10,+4,A,-5.6%,0.1,98,Y,9.7,8.9,0.5,--,4.14%,--,158.0,--,9.9,24.0,11.5%,06/30,10k,S,--,30
9020.T,EAST JAPAN RAI,3.97T,3518.00,4020.83,14.3%,12,50%,12,+1,A,7.1%,0.0,84,N,16.0,17.1,0.6,2.9,2.39%,--,--,-4.25,7.9,162.6,--,06/30,11k,H,value,90
0700.HK,TENCENT HOLDIN,3.92T,435.40,665.68,52.9%,44.0,93%,44.0,-1,A,49.2%,0.7,64,N,14.7,12.1,0.8,1.3,1.22%,--,0.7,-28.67,19.9,38.6,3.0%,06/30,15k,B,value,90
7269.T,SUZUKI MOTOR C,3.87T,2008.50,2609.41,29.9%,17,88%,17,+1,A,26.3%,0.4,81,N,8.8,11.4,0.5,--,2.63%,--,--,-1.77,15.3,17.3,5.3%,06/30,14.5k,B,value,90
8267.T,"AEON CO., LTD.",3.87T,1399.50,1390.00,-0.7%,9.0,--,9.0,0,A,-0.0,0.2,48,N,52.1,22.3,0.9,--,0.98%,--,--,-20.09,7.2,185.6,--,05/31,10k,S,value,90
5020.T,ENEOS HOLDINGS,3.85T,1450.50,1580.00,8.9%,7.0,85%,7.0,-1,A,7.6%,0.3,93,Y,15.1,14.6,0.8,--,2.44%,--,--,68.06,19.5,57.8,-5.2%,06/30,11.5k,H,value,90
4901.T,FUJIFILM HOLDI,3.83T,3200.00,4035.38,26.1%,14.0,71%,14.0,+1,A,18.5%,0.4,82,N,14.1,10.7,0.4,--,2.35%,--,--,-9.11,7.1,28.4,-7.0%,12/31,13k,H,value,90
MSFT,MICROSOFT CORP,3.67T,493.95,572.92,16.0%,55.0,94%,31.0,-2,E,15.0%,1.1,89,Y,27.5,21.0,0.6,1.6,0.73%,0.9%,28.9,-0.08,34.0,29.1,0.5%,06/30,12.5k,B,value,90
7751.T,CANON INC.,3.66T,4339.00,4695.00,8.2%,10.0,30%,10.0,0,A,2.5%,0.3,86,N,11.3,12.0,0.4,--,3.67%,--,--,3.13,10.4,34.4,4.6%,03/31,10.5k,S,value,90
9022.T,CENTRAL JAPAN ,3.63T,3825.00,4442.73,16.1%,11,45%,11,0,A,7.3%,0.2,79,N,6.7,9.0,0.3,--,0.83%,--,--,-7.47,11.2,91.5,--,06/30,11k,S,--,30
4689.T,LY CORPORATION,3.57T,518.10,569.77,10.0%,13.0,84%,13.0,0,A,8.4%,0.6,91,Y,18.6,24.2,1.0,3.1,2.09%,--,--,7.58,8.3,61.3,0.5%,06/30,11.5k,B,momentum,7
5401.T,NIPPON STEEL C,3.52T,674.40,710.00,5.3%,9.0,66%,9.0,+1,A,3.5%,0.7,94,Y,207.5,1.2,0.1,--,3.54%,--,--,13.89,5.5,90.1,--,06/30,10.5k,H,value,90
7832.T,BANDAI NAMCO H,3.49T,5445.00,5231.76,-3.9%,17.0,58%,17.0,0,A,-2.3%,0.1,93,Y,25.1,32.0,1.3,4.8,0.93%,--,--,10.72,18.3,--,--,06/30,10k,S,--,30
4543.T,TERUMO CORPORA,3.37T,2286.00,3140.77,37.4%,14.0,85%,14.0,+1,A,31.8%,0.2,85,Y,24.8,22.4,0.8,--,1.55%,--,--,-11.38,10.9,26.4,2.8%,06/30,15k,B,value+momentum,45
9503.T,THE KANSAI ELE,3.32T,2981.50,2892.00,-3.0%,5.0,60%,5.0,+2,A,-1.8%,0.2,98,Y,8.7,9.1,0.5,--,2.72%,--,--,45.19,12.5,121.1,--,06/30,10k,S,--,30
6920.T,LASERTEC CORPO,3.30T,36810.00,49131.25,33.5%,17,52%,17,+2,A,17.4%,1.7,63,N,42.7,33.7,1.0,2.1,1.21%,--,--,129.27,33.9,--,1.0%,09/30,13k,H,value,90
6326.T,KUBOTA CORPORA,3.19T,2834.00,3202.00,13.0%,10.0,60%,10.0,0,A,7.8%,0.8,87,Y,12.0,14.4,0.5,1.2,1.86%,--,--,54.42,10.0,74.2,-0.5%,03/31,11.5k,H,value,90
4452.T,KAO CORPORATIO,3.11T,3432.00,3912.31,14.0%,13,76%,13,0,A,10.6%,0.2,91,Y,24.6,13.3,0.5,3.0,2.27%,--,--,2.48,12.3,20.6,3.5%,03/31,12k,B,momentum,7
4004.T,RESONAC HOLDIN,3.08T,16225.00,21070.00,29.9%,12.0,83%,12.0,0,A,24.8%,1.1,79,Y,55.7,65.1,2.7,--,0.41%,--,--,298.59,8.1,118.8,0.7%,03/31,14k,H,value,90
8830.T,SUMITOMO REALT,3.00T,3245.00,4654.61,43.4%,13,69%,13,+1,A,30.0%,--,61,N,14.2,7.8,0.2,2.6,1.60%,--,--,1.82,9.4,156.0,--,06/30,15k,H,value,90
7013.T,IHI CORPORATIO,2.91T,2741.00,3678.18,34.2%,11.0,72%,11.0,+1,A,24.6%,0.9,58,N,18.0,4.7,0.2,1.4,0.87%,--,--,20.59,33.4,67.3,-0.0%,06/30,14k,H,value,90
9101.T,NIPPON YUSEN K,2.89T,7151.00,6333.18,-11.4%,11.0,18%,11.0,0,A,-2.1%,0.7,96,Y,14.2,14.0,0.5,--,3.29%,--,--,34.91,7.7,42.8,--,06/30,10k,S,value,90
5801.T,FURUKAWA ELECT,2.88T,4099.00,6160.00,50.3%,10.0,70%,10.0,0,A,35.2%,1.2,66,Y,41.7,13.8,0.5,1.9,0.60%,--,--,371.49,22.6,77.6,--,06/30,15k,H,value,90
1925.T,DAIWA HOUSE IN,2.87T,4636.00,5068.89,9.3%,9,33%,9,0,A,3.1%,0.3,80,N,8.2,9.8,0.3,--,1.98%,--,--,-12.8,12.9,115.4,--,06/30,10.5k,S,value,90
9766.T,KONAMI GROUP C,2.81T,20735.00,26431.77,27.5%,17.0,94%,17.0,+1,A,25.8%,0.4,78,Y,25.0,34.5,2.2,1.9,1.07%,--,22.2,-3.3,21.2,9.5,2.6%,06/30,14.5k,H,value,90
AMZN,"AMAZON.COM, IN",2.77T,256.97,328.17,27.7%,61.0,97%,30.0,-3,E,26.8%,1.4,89,Y,20.7,24.7,1.0,1.5,--,1.0%,66.6,7.86,30.6,45.6,0.1%,06/30,14.5k,B,value,90
5713.T,SUMITOMO METAL,2.76T,10265.00,11388.75,10.9%,8.0,37%,8.0,0,A,4.1%,1.3,77,Y,15.8,25.2,1.0,--,2.13%,--,--,150.76,11.7,30.3,-1.8%,06/30,10.5k,S,--,30
4307.T,NOMURA RESEARC,2.70T,4825.00,5856.43,21.4%,14.0,92%,14.0,+1,A,19.7%,0.3,75,N,179.8,27.6,0.8,0.4,1.69%,--,--,-14.78,4.6,62.3,1.6%,06/30,13.5k,H,value,90
1398.HK,INDUSTRIAL AND,2.68T,7.51,8.39,11.8%,14,92%,14,-2,A,10.8%,0.1,97,Y,6.4,5.9,0.4,1.1,4.67%,--,3.3,36.77,8.9,--,--,06/30,12k,H,value,90
3750.HK,CONTEMPORARY A,2.60T,562.00,797.96,42.0%,19.0,89%,19.0,+1,A,37.4%,0.4,71,N,26.2,18.5,0.7,1.2,0.93%,--,36.5,32.55,24.8,36.0,2.8%,06/30,15k,B,value,90
8601.T,DAIWA SECURITI,2.53T,1822.50,1677.14,-8.0%,7,14%,7,0,A,-1.1%,0.5,96,Y,14.7,18.5,1.1,--,3.82%,--,--,59.81,11.0,1221.1,--,06/30,10k,S,value,90
7735.T,SCREEN HOLDING,2.52T,13340.00,18062.50,35.4%,16,50%,16,0,A,17.7%,1.5,67,Y,27.4,15.3,0.5,1.3,1.85%,--,--,136.46,18.9,1.2,1.8%,06/30,13k,H,value,90
0939.HK,CHINA CONSTRUC,2.50T,9.56,10.94,14.5%,17.0,100%,17.0,+1,A,14.5%,0.2,97,Y,6.3,5.9,0.4,1.1,4.60%,--,5.8,32.36,9.4,--,--,06/30,12.5k,B,momentum,7
9735.T,"SECOM CO., LTD",2.49T,6235.00,7070.00,13.4%,5,40%,5,0,A,5.4%,0.1,86,Y,22.6,26.3,0.9,--,1.90%,--,--,15.02,8.7,4.8,--,06/30,11k,S,--,30
4507.T,SHIONOGI & CO.,2.45T,2876.50,3375.00,17.3%,12.0,41%,12.0,+1,A,7.1%,0.0,77,N,11.9,15.0,0.5,--,2.62%,--,--,9.86,16.8,38.6,-0.2%,06/30,11k,S,--,30
3659.T,"NEXON CO., LTD",2.43T,3121.00,2922.89,-6.3%,19.0,42%,19.0,0,A,-2.7%,0.6,70,Y,18.3,18.7,1.2,1.7,1.92%,--,76.9,-6.22,12.5,4.5,4.5%,06/30,10k,S,value,90
9104.T,MITSUI O.S.K. ,2.41T,7007.00,7204.55,2.8%,11.0,63%,11.0,0,A,1.8%,0.7,93,Y,11.3,12.5,0.4,--,2.88%,--,--,50.51,7.9,85.6,--,06/30,10.5k,H,value,90
1812.T,KAJIMA CORPORA,2.40T,5199.00,7235.71,39.2%,7.0,100%,7.0,0,A,39.2%,0.4,65,N,13.6,19.5,0.7,--,2.88%,--,--,18.34,--,58.9,--,06/30,15k,H,value,90
2502.T,ASAHI GROUP HO,2.36T,1611.00,2055.80,27.6%,15.0,66%,15.0,-1,A,18.2%,0.2,85,N,14.6,11.3,0.5,0.8,3.80%,--,--,-10.81,5.6,52.9,4.1%,03/31,13k,H,value,90
VTI,VANGUARD MORNI,2.34T,377.60,--,--,--,--,--,--,,--,--,98,Y,25.3,--,--,--,1.03%,--,--,--,--,--,--,--,10k,I,--,30
9502.T,CHUBU ELECTRIC,2.29T,3038.00,3010.00,-0.9%,5,40%,5,-1,A,-0.4%,0.2,92,Y,10.1,12.9,0.7,--,2.35%,--,--,50.05,6.0,91.2,--,06/30,10k,S,--,30
TSM,TAIWAN SEMICON,2.28T,439.00,552.38,25.8%,20.0,86%,7.0,+2,E,22.1%,1.2,92,Y,32.6,20.0,0.6,0.8,0.95%,0.6%,56.2,--,40.0,16.5,32.1%,06/30,13.5k,B,value+momentum,45
