#,TICKER,COMPANY,CAP,PRICE,TARGET,UPSIDE,# T,% BUY,# A,A,EXRET,BETA,PET,PEF,PEG,DIV %,SI,EARNINGS,% SI,SI_value
40,MA,MASTERCARD INC,491B,538.8,618.3,14.7%,36,100%,14,E,14.7%,1.1,38.8,32.9,2.2,0.57%,0.6%,2025-01-29,0.6%,0.6
41,MDB,"MONGODB, INC.",15.4B,191.3,304.7,59.3%,35,83%,18,E,49.4%,1.3,--,59.0,--,--,2.1%,2025-03-04,2.1%,2.1
42,MHK,MOHAWK INDUSTR,7.23B,115.5,144.1,24.8%,16,75%,8,E,18.6%,1.4,14.2,10.4,--,--,2.6%,2025-02-05,2.6%,2.6
43,MRVL,MARVELL TECHNO,60.9B,70.3,113.2,61.0%,35,91%,11,E,55.4%,1.4,--,28.1,--,0.34%,3.3%,2025-03-04,3.3%,3.3
44,MSFT,MICROSOFT CORP,2.89T,388.7,505.3,30.0%,50,78%,9,E,23.4%,0.9,31.3,26.0,1.8,0.86%,0.9%,2025-01-28,0.9%,0.9
45,NOW,"SERVICENOW, IN",167B,812.4,1137.7,40.0%,40,100%,15,E,40.0%,1.0,118.8,48.6,1.9,--,1.6%,2025-01-28,1.6%,1.6
46,NUE,NUCOR CORPORAT,30.0B,130.1,153.7,18.1%,12,80%,5,E,14.5%,1.6,15.4,13.9,--,1.68%,2.5%,2025-01-26,2.5%,2.5
47,PDD,PDD HOLDINGS I,178B,128.4,147.1,14.5%,39,81%,43,A,11.8%,0.7,12.6,9.1,0.6,--,2.8%,2025-03-19,2.8%,2.8
48,PH,PARKER-HANNIFI,80.9B,628.7,748.4,19.0%,20,88%,8,E,16.7%,1.5,26.0,21.4,2.5,1.03%,0.9%,2025-01-29,0.9%,0.9
49,PYPL,PAYPAL HOLDING,69.8B,70.6,95.0,34.6%,35,44%,9,E,15.4%,1.5,17.7,14.4,0.9,--,3.6%,2025-02-03,3.6%,3.6
50,QCOM,QUALCOMM INCOR,174B,158.1,198.5,25.6%,30,60%,5,E,15.4%,1.3,17.0,12.9,1.6,2.15%,1.7%,2025-02-04,1.7%,1.7
51,ROST,"ROSS STORES, I",41.5B,125.8,156.4,24.4%,20,50%,8,E,12.2%,1.2,19.9,18.8,1.7,1.29%,1.7%,2025-03-03,1.7%,1.7
52,SCHW,THE CHARLES SC,143B,79.2,89.9,13.5%,20,78%,9,E,10.5%,1.0,26.5,20.8,0.9,1.37%,1.0%,2025-01-20,1.0%,1.0
53,STZ,CONSTELLATION ,32.6B,180.1,235.3,30.6%,25,62%,16,E,19.1%,0.9,48.2,11.9,1.1,2.26%,2.3%,2025-01-09,2.3%,2.3
54,SYY,SYSCO CORPORAT,35.1B,71.8,83.7,16.6%,16,86%,7,E,14.2%,1.1,18.4,14.6,1.3,2.82%,3.1%,2025-01-27,3.1%,3.1
55,TEAM,ATLASSIAN CORP,59.5B,227.2,340.7,50.0%,30,62%,16,E,31.2%,0.9,--,55.3,2.6,--,1.9%,2025-01-29,1.9%,1.9
56,TECH,BIO-TECHNE COR,9.64B,61.0,83.9,37.6%,13,33%,6,E,12.5%,1.3,62.2,27.8,1.3,0.53%,3.8%,2025-02-04,3.8%,3.8
57,TGT,TARGET CORPORA,48.3B,106.0,136.5,28.8%,32,50%,16,E,14.4%,1.2,12.0,10.1,1.4,4.27%,2.5%,2025-03-03,2.5%,2.5
58,TMO,THERMO FISHER ,195B,517.9,659.1,27.3%,28,57%,7,E,15.6%,0.8,31.3,22.0,1.9,0.33%,1.1%,2025-01-29,1.1%,1.1
59,TSLA,"TESLA, INC.",758B,235.9,340.2,44.3%,42,47%,30,E,20.7%,2.5,116.2,72.8,2.9,--,2.4%,2025-01-28,2.4%,2.4
60,TTD,THE TRADE DESK,28.1B,56.6,109.6,93.7%,31,85%,26,E,79.3%,1.6,72.5,29.3,1.7,--,3.6%,2025-02-11,3.6%,3.6
61,WBD,WARNER BROS. D,26.6B,10.8,13.6,25.3%,24,57%,7,E,14.5%,1.5,--,-83.3,--,--,2.9%,2025-02-26,2.9%,2.9
62,WDAY,"WORKDAY, INC.",65.9B,247.6,312.5,26.2%,37,59%,17,E,15.4%,1.4,127.6,29.8,1.1,--,3.6%,2025-02-24,3.6%,3.6
63,ZBRA,ZEBRA TECHNOLO,14.7B,286.5,391.6,36.7%,17,50%,6,E,18.3%,1.7,28.1,17.9,1.0,--,1.5%,2025-02-12,1.5%,1.5
